
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell:   75      0.00   2000.00   -884.99   80   70   76    0  wall wall wall   wall
Object:   OBJ00072     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00073     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00074     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00075     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00076     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00077     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00078     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00079     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00080     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00081     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00082     75      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00083     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00084     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00085     75      V3m   -50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00086     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00087     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00088     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00089     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00090     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00091     75      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00092     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00093     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00094     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00095     75      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00096     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00097     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00098     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00099     75      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00100     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00101     75      d3s    10.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00102     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00103     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00104     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00105     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00106     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00107     75      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00108     75      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00109     75      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00110     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00111     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00112     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00113     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00114     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00115     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00116     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00117     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00118     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00119     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00120     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00121     75      cBm   -50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00122     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00123     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00124     75      Vrt   -50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00125     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00126     75      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00127     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00128     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00129     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00130     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00131     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00132     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00133     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00134     75      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00135     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00136     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00137     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00138     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00139     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00140     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00141     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00142     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00143     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00144     75      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00145     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00146     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00147     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00148     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00149     75      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00150     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00151     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00152     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00153     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00154     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00155     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00156     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00157     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00158     75      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00159     75      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00160     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00161     75      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00162     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00163     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00164     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00165     75      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00166     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00167     75      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00168     75      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00169     75      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00170     75      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00171     75      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00172     75      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00173     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00174     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00175     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00176     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00177     75      V3s    10.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00178     75      dBt    50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00179     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00180     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00181     75      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00182     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00183     75      V3m   -50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00184     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00185     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00186     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00187     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00188     75      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00189     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00190     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00191     75      c3m   -50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00192     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00193     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00194     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00195     75      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00196     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00197     75      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00198     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00199     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00200     75      VBs    10.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00201     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00202     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00203     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00204     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00205     75      Vrt   -50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00206     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00207     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00208     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00209     75      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00210     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00211     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00212     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00213     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00214     75      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00215     75      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00216     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00217     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00218     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00219     75      dBs    10.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00220     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00221     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00222     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00223     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00224     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00225     75      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00226     75      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00227     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00228     75      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00229     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00230     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00231     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00232     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00233     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00234     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00235     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00236     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00237     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00238     75      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00239     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00240     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00241     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00242     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00243     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00244     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00245     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00246     75      c3m   -50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00247     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00248     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00249     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00250     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00251     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00252     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00253     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00254     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00255     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00256     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00257     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00258     75      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00259     75      drs    50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00260     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00261     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00262     75      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00263     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00264     75      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00265     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00266     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00267     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00268     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00269     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00270     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00271     75      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00272     75      c3m   -50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00273     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00274     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00275     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00276     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00277     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00278     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00279     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00280     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00281     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00282     75      c3m   -50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00283     75      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00284     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00285     75      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00286     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00287     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00288     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00289     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00290     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00291     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00292     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00293     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00294     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00295     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00296     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00297     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00298     75      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00299     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00300     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00301     75      c3m    10.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00302     75      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00303     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00304     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00305     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00306     75      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00307     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00308     75      cBm   -50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00309     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00310     75      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00311     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00312     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00313     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00314     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00315     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00316     75      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00317     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00318     75      dBs    10.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00319     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00320     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00321     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00322     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00323     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00324     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00325     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00326     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00327     75      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00328     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00329     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00330     75      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00331     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00332     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00333     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00334     75      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00335     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00336     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00337     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00338     75      d3t    50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00339     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00340     75      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00341     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00342     75      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00343     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00344     75      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00345     75      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00346     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00347     75      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00348     75      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00349     75      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
